
CityCenter,24
Mansion,8
Mansion,10
Mansion,12
House,4
House,4
Field,8
Field,10
Field,6
House,4
House,4
House,4
House,4
Shrine,6
Shrine,6
Shrine,6
Field,4
Field,6
Mansion,14
Mansion,16
Masonry,8
Masonry,8
Masonry,8
Shrine,6
Shrine,4
FishingHut,6
FishingHut,6
FishingHut,6
Field,8
Field,8
FishingHut,6
FishingHut,6
Masonry,8
Masonry,8
Factory,8
Factory,8
Shrine,6
Shrine,6
Mansion,8
Farm,12
Field,6
Field,8
House,14
Monastery,20
Shrine,6
FishingHut,6
FishingHut,6
Factory,8
Shrine,4
Monastery,26
Masonry,16
Factory,12
Factory,12
Factory,12
FishingHut,6
FishingHut,6
Monastery,20
Shrine,4
Shrine,4
House,18
House,18
Shrine,4
Monastery,24
Field,6
Field,8
Farm,24
Farm,20
Farm,16
Monastery,22
Shrine,4
House,16
House,14
Shrine,4
Shrine,4
